DISTRICT,CO,CDS,EDP 365,Current Expense ADA,Current Expense per ADA,LEA Type,enroll12,NumTstTakr,NumCurrElaBenchmark,NumPreElaBenchmark,TotNumElaBenchmark,PctElaBenchmark,NumCurrMathBenchmark,NumPreMathBenchmark,TotNumMathBenchmark,PctMathBenchmark,TotNumBothBenchmark,PctBothBenchmark
ABC Unified,19,64212,"215,049,027","19,855.3","10,831",Unified                  ,1810,1005,822,6,828,82.39,665,5,670,66.67,644,64.08
Acalanes Union High,7,61630,"74,213,974","5,404.7","13,731",High                     ,1426,761,728,3,731,96.06,676,3,679,89.22,673,88.44
Acton-Agua Dulce Unified,19,75309,"14,550,055","1,026.6","14,173",Unified                  ,1180,134,97,0,97,72.39,66,0,66,49.25,64,47.76
Alameda Unified,1,61119,"108,302,935","9,066.4","11,946",Unified                  ,946,551,465,1,466,84.57,398,1,399,72.41,391,70.96
Albany City Unified,1,61127,"45,683,532","3,537.4","12,914",Unified                  ,279,166,156,0,156,93.98,148,0,148,89.16,146,87.95
Alhambra Unified,19,75713,"199,924,954","16,352.4","12,226",Unified                  ,1946,1180,972,0,972,82.37,859,0,859,72.80,799,67.71
Alvord Unified,33,66977,"222,113,522","17,977.8","12,355",Unified                  ,1545,1358,619,0,619,45.58,334,0,334,24.59,295,21.72
Amador County Unified,3,73981,"33,806,573","3,732.1","9,058",Unified                  ,322,88,79,0,79,89.77,60,0,60,68.18,59,67.05
Anaheim Union High,30,66431,"340,884,951","29,121.2","11,706",High                     ,5328,2101,1623,5,1628,77.49,1150,6,1156,55.02,1103,52.50
Anderson Union High,45,69856,"18,836,322","1,441.7","13,065",High                     ,436,126,101,0,101,80.16,70,0,70,55.56,65,51.59
Anderson Valley Unified,23,65540,"7,752,326",452.7,"17,124",Unified                  ,36,15,10,0,10,66.67,6,0,6,40.00,6,40.00
Antelope Valley Union High,19,64246,"256,184,424","19,360.5","13,232",High                     ,5667,1875,1172,1,1173,62.56,577,1,578,30.83,547,29.17
