Name,URL
Alameda+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Alameda+Unified&ID2=0601770&details=
Albany+City+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Albany+City+Unified&ID2=0601860&details=
Berkeley+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Berkeley+Unified&ID2=0604740&details=
Castro+Valley+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Castro+Valley+Unified&ID2=0607800&details=
Emery+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Emery+Unified&ID2=0612630&details=
Fremont+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Fremont+Unified&ID2=0614400&details=
Hayward+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Hayward+Unified&ID2=0616740&details=
Livermore+Valley+Joint+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Livermore+Valley+Joint+Unified&ID2=0622110&details=
Mountain+House+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Mountain+House+Elementary&ID2=0626130&details=
Newark+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Newark+Unified&ID2=0627060&details=
New+Haven+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=New+Haven+Unified&ID2=0626910&details=
Oakland+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Oakland+Unified&ID2=0628050&details=
Piedmont+City+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Piedmont+City+Unified&ID2=0630330&details=
San+Leandro+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=San+Leandro+Unified&ID2=0634680&details=
San+Lorenzo+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=San+Lorenzo+Unified&ID2=0634710&details=
Dublin+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Dublin+Unified&ID2=0600019&details=
Pleasanton+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Pleasanton+Unified&ID2=0600020&details=
Sunol+Glen+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Sunol+Glen+Unified&ID2=0600021&details=
Alpine+County+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Alpine+County+Unified&ID2=0602070&details=
Amador+County+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Amador+County+Unified&ID2=0602450&details=
Bangor+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Bangor+Union+Elementary&ID2=0603780&details=
Biggs+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Biggs+Unified&ID2=0605040&details=
Chico+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Chico+Unified&ID2=0608370&details=
Durham+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Durham+Unified&ID2=0611730&details=
Feather+Falls+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Feather+Falls+Union+Elementary&ID2=0613710&details=
Golden+Feather+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Golden+Feather+Union+Elementary&ID2=0615480&details=
Manzanita+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Manzanita+Elementary&ID2=0623700&details=
Oroville+City+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Oroville+City+Elementary&ID2=0629100&details=
Oroville+Union+High,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Oroville+Union+High&ID2=0629130&details=
Palermo+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Palermo+Union+Elementary&ID2=0629540&details=
Paradise+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Paradise+Unified&ID2=0629820&details=
Thermalito+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Thermalito+Union+Elementary&ID2=0639180&details=
Pioneer+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Pioneer+Union+Elementary&ID2=0630520&details=
Gridley+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Gridley+Unified&ID2=0600051&details=
Bret+Harte+Union+High,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Bret+Harte+Union+High&ID2=0605940&details=
Calaveras+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Calaveras+Unified&ID2=0606870&details=
Mark+Twain+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Mark+Twain+Union+Elementary&ID2=0623970&details=
Vallecito+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/&details=
Colusa+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Colusa+Unified&ID2=0609570&details=
Maxwell+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Maxwell+Unified&ID2=0624150&details=
Pierce+Joint+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Pierce+Joint+Unified&ID2=0630360&details=
Williams+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Williams+Unified&ID2=0642540&details=
Acalanes+Union+High,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Acalanes+Union+High&ID2=0601650&details=
Antioch+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Antioch+Unified&ID2=0602850&details=
Brentwood+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Brentwood+Union+Elementary&ID2=0605910&details=
Byron+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Byron+Union+Elementary&ID2=0606750&details=
Canyon+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Canyon+Elementary&ID2=3005460&details=
John+Swett+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=John+Swett+Unified&ID2=0618990&details=
Knightsen+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Knightsen+Elementary&ID2=0620040&details=
Lafayette+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Lafayette+Elementary&ID2=0620310&details=
Liberty+Union+High,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Liberty+Union+High&ID2=0621600&details=
Martinez+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Martinez+Unified&ID2=0624030&details=
Moraga+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Moraga+Elementary&ID2=0625740&details=
Mt.+Diablo+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Mt.+Diablo+Unified&ID2=0626370&details=
Oakley+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Oakley+Union+Elementary&ID2=0628080&details=
Orinda+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Orinda+Union+Elementary&ID2=0628860&details=
Pittsburg+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Pittsburg+Unified&ID2=0630600&details=
