DISTRICT,CO,CDS,EDP 365,Current Expense ADA,Current Expense per ADA,LEA Type,enroll12,NumTstTakr,NumCurrElaBenchmark,NumPreElaBenchmark,TotNumElaBenchmark,PctElaBenchmark,NumCurrMathBenchmark,NumPreMathBenchmark,TotNumMathBenchmark,PctMathBenchmark,TotNumBothBenchmark,PctBothBenchmark,District Administrative Support:,District Administrators:,Elementary Guidance Counselors:,Elementary:,Instruc. Coordinators &amp; Supervisors:,Instructional Aides:,Kindergarten:,Librarians/Media Specialists:,Library/Media Support:,Other Support Services:,Prekindergarten:,School Administrative Support:,School Administrators:,Secondary Guidance Counselors:,Secondary:,Student Support Services:,Ungraded:
ABC Unified,19,64212,"215,049,027","19,855.30","10,831",Unified                  ,1810,1005,822,6,828,82.39,665,5,670,66.67,644,64.08,36,8,1,469.07,19.9,148.3,67.58,0,0,416.44,0,81.13,56,9,288.3,83.6,3.67
Acalanes Union High,7,61630,"74,213,974","5,404.70","13,731",High                     ,1426,761,728,3,731,96.06,676,3,679,89.22,673,88.44,14,4,0,0.13,4,27.46,0,0,0,55.39,0,29,8.5,16.6,276.57,15.8,1.5
Acton-Agua Dulce Unified,19,75309,"14,550,055","1,026.60","14,173",Unified                  ,1180,134,97,0,97,72.39,66,0,66,49.25,64,47.76,5,1,3,258.38,75.14,105.29,37.08,0,0,66.52,0,180.63,57.47,5.7,323.27,85.76,22.22
Alameda Unified,1,61119,"108,302,935","9,066.40","11,946",Unified                  ,946,551,465,1,466,84.57,398,1,399,72.41,391,70.96,35.02,6,4.25,286.09,44.58,134.88,38.25,0,0,165.96,0,63.74,34.7,5,156.65,37.85,6.48
Albany City Unified,1,61127,"45,683,532","3,537.40","12,914",Unified                  ,279,166,156,0,156,93.98,148,0,148,89.16,146,87.95,14,2,2,99.96,15.25,41.42,12.3,4,0,59.13,0,16.95,7.98,3.6,56.68,8.4,1.2
Alhambra Unified,19,75713,"199,924,954","16,352.40","12,226",Unified                  ,1946,1180,972,0,972,82.37,859,0,859,72.8,799,67.71,76,13,0,321.29,70.58,342,52.5,0,0,324,0,146,50.89,17.75,264.28,80.84,6.25
Alvord Unified,33,66977,"222,113,522","17,977.80","12,355",Unified                  ,1545,1358,619,0,619,45.58,334,0,334,24.59,295,21.72,63.75,7,25,454.08,58.98,150.91,76.5,1,0,356.25,0,74.5,46,15,257.73,85.9,0
Amador County Unified,3,73981,"33,806,573","3,732.10","9,058",Unified                  ,322,88,79,0,79,89.77,60,0,60,68.18,59,67.05,13.94,3,2,91.48,6,15.43,14.4,0,0,71.7,0,32.29,12.16,4.3,55.74,1.2,0
Anaheim Union High,30,66431,"340,884,951","29,121.20","11,706",High                     ,5328,2101,1623,5,1628,77.49,1150,6,1156,55.02,1103,52.5,76.5,7,16,384.73,15,332.78,0,0,0,498.21,0,191.46,57.76,38.88,779.48,32.1,16
Anderson Union High,45,69856,"18,836,322","1,441.70","13,065",High                     ,436,126,101,0,101,80.16,70,0,70,55.56,65,51.59,5.1,1.5,0,0,1.5,17.27,0,0,0,29.26,0,10,5.8,6.7,86,2.2,0
Anderson Valley Unified,23,65540,"7,752,326",452.7,"17,124",Unified                  ,36,15,10,0,10,66.67,6,0,6,40,6,40,4,1,0,17.24,3.54,12.05,2,0,0,21.05,0,4,3,0,14.3,1.86,0
Antelope Valley Union High,19,64246,"256,184,424","19,360.50","13,232",High                     ,5667,1875,1172,1,1173,62.56,577,1,578,30.83,547,29.17,69,7,0,22.72,61.28,363.1,0,0,0,288,0,267,91,59.45,961.54,51.95,11.31
Antioch Unified,7,61648,"189,826,404","15,718.30","12,077",Unified                  ,1507,420,320,0,320,76.19,202,0,202,48.1,196,46.67,48.75,7.5,21.6,408.81,25.97,195.27,58.52,0.5,0,316.92,0,102.81,46.7,10,225.82,30.6,0.8
Apple Valley Unified,36,75077,"142,832,814","12,256.10","11,654",Unified                  ,1024,301,211,0,211,70.1,120,0,120,39.87,112,37.21,36.79,3,5.88,354.08,31.31,231.53,55.92,0,0,186.28,0,68.42,36.18,9,182.6,19.62,0.14
