District Administrative Support:,District Administrators:,Elementary Guidance Counselors:,Elementary:,Instruc. Coordinators &amp; Supervisors:,Instructional Aides:,Kindergarten:,Librarians/Media Specialists:,Library/Media Support:,Name,Other Support Services:,Prekindergarten:,School Administrative Support:,School Administrators:,Secondary Guidance Counselors:,Secondary:,Student Support Services:,Ungraded:
35.02,6,4.25,286.09,44.58,134.88,38.25,0,0,Alameda Unified,165.96,0,63.74,34.7,5,156.65,37.85,6.48
14,2,2,99.96,15.25,41.42,12.3,4,0,Albany City Unified,59.13,0,16.95,7.98,3.6,56.68,8.4,1.2
57.8,8,7.6,290.77,100.93,145.2,38.7,0,0,Berkeley Unified,219.4,0,35.64,34,10.4,168.71,27.9,11.6
36.13,4.4,5.85,217.63,37.36,92.6,30.82,0,0,Castro Valley Unified,99.49,0,39.37,21.77,8.1,130.33,22.3,2
0,1,0,22,6,2,4,0,0,Emery Unified,12.2,0,3,3,1,14.69,2,0
126.38,13,19,892.52,221.61,312.03,150.09,0,0,Fremont Unified,400.78,0,164.52,69,24,457.41,84.9,10.53
90.65,15,9.3,575.91,166.67,239.76,85.35,0,0,Hayward Unified,247.75,0,124.07,66.9,24.45,285.73,71.95,0.05
41.11,8,2,338.85,25.13,164.38,55.11,0,0,Livermore Valley Joint Unified,159.51,0,56.42,31.85,7.58,199.59,32.57,3.1
0,0,0,0.89,0,0,0.11,0,0,Mountain House Elementary,2.55,0,1,0,0,0,0,0
23.73,2,1,116.03,23.3,41.77,19.5,1,0,Newark Unified,107.14,0,24.71,20.65,4,63.76,16.5,3.16
291.01,72,13.05,0,487.08,444.52,203.01,0,0,Oakland Unified,980.26,0,580.84,198.19,18.35,725.37,134.32,84.54
14,2,3.6,79.08,5.6,70.43,9,0,0,Piedmont City Unified,30.89,0,13.67,9.1,4,52.03,12.17,0.4
39.66,4,4,213.02,15,102.15,34.18,1,0,San Leandro Unified,99.3,0,32.53,20,6,125,22.8,0
27.44,3.5,7.45,266.74,21.7,141.09,45.18,0,0,San Lorenzo Unified,149.7,0,48.53,27.4,9.05,183.85,29.1,4.27
22,3.5,8.4,295.75,36.63,93.71,48.77,0,0,Dublin Unified,127.97,0,33.42,21.8,6,120.73,16.4,0.95
35.75,5,13.5,359.4,38.67,114.04,43.17,0,0,Pleasanton Unified,213.22,0,49.16,33.7,14.8,215.81,57,6.42
0,1,0,11.75,0,2.19,1.75,0,0,Sunol Glen Unified,2,0,3,0,0,0,0,0
0,1,0,6.95,0,2.41,1,0,0,Alpine County Unified,9.71,0,2.79,1,0,0,1,0
13.94,3,2,91.48,6,15.43,14.4,0,0,Amador County Unified,71.7,0,32.29,12.16,4.3,55.74,1.2,0
0,0.2,0,3.5,0,0,0.5,0,0,Bangor Union Elementary,1,0,1,0.2,0,0,0,0
4.5,1,0,16.75,0,18.57,3.25,0,0,Biggs Unified,10.72,0,5,2,1,14.16,1,1.3
49.5,3,13.9,367.66,17.89,299.28,58.4,0,0,Chico Unified,238.62,0,71.97,36.55,13,196.37,44.67,4.26
3.88,1,0.5,29.23,0.4,7.97,4.17,0,0,Durham Unified,22.6,0,4,2.6,1,15,2.7,0
0,0,0,2.92,0,1.75,0.2,0,0,Feather Falls Union Elementary,1.88,0,1.75,0.7,0,2.28,0,0
0,0,0,3.16,0,2.75,1,0,0,Golden Feather Union Elementary,3.75,0,3.75,3.9,0,8.36,2.92,28.03
0,0,0,10.43,1,2.5,2,0,0,Manzanita Elementary,4.26,0,3,0,0,0,0,0
10.67,2.5,2,101.89,3.5,51.67,14.7,0,0,Oroville City Elementary,56.92,0,15.71,9.3,0,0,10.6,2
15,1,0,0,3.37,36,0,0,0,Oroville Union High,54,0,17.5,6.8,6.6,97.98,0,3
4,0,1,45.64,1,22.25,8.88,0,0,Palermo Union Elementary,25.84,0,6.88,5,0,0,5,4.26
13.25,2,2,110.21,7,92.82,15.91,1,0,Paradise Unified,80.77,0,23.13,16.74,3.8,56.94,8,0
