Occupation,Salary
Prekindergarten,"$37,850 "
Kindergarten,"$67,670 "
Elementary,"$65,087 "
Secondary,"$67,901 "
Ungraded,"$63,243 "
Instructional Aides,"$34,093 "
Instruc. Coordinators &amp; Supervisors,"$74,517 "
Elementary Guidance Counselors,"$69,510 "
Secondary Guidance Counselors,"$98,330 "
Librarians/Media Specialists,"$48,619 "
Library/Media Support,"$47,197 "
District Administrators,"$119,225 "
District Administrative Support,"$68,500 "
School Administrators,"$119,225 "
School Administrative Support,"$68,500 "
Student Support Services,"$48,790 "
Other Support Services,"$48,790 "
