CO,CDS,DISTRICT,EDP 365,Current Expense ADA,Current Expense per ADA,LEA Type
01,61119,Alameda Unified,"108,302,935","9,066.4","11,946",Unified                  
01,61127,Albany City Unified,"45,683,532","3,537.4","12,914",Unified                  
01,61143,Berkeley Unified,"144,637,240","9,345.8","15,476",Unified                  
01,61150,Castro Valley Unified,"92,677,106","8,951.2","10,354",Unified                  
01,61168,Emery Unified,"11,468,178",646.0,"17,754",Unified                  
01,61176,Fremont Unified,"361,573,564","34,247.1","10,558",Unified                  
01,61192,Hayward Unified,"249,986,063","19,355.4","12,916",Unified                  
01,61200,Livermore Valley Joint Unified,"144,176,237","13,242.9","10,887",Unified                  
01,61218,Mountain House Elementary,"513,922",18.0,"28,504",Elementary               
01,61234,Newark Unified,"62,368,434","5,691.3","10,959",Unified                  
01,61242,New Haven Unified,"128,926,540","11,057.2","11,660",Unified                  
01,61259,Oakland Unified,"504,800,324","34,840.9","14,489",Unified                  
01,61275,Piedmont City Unified,"39,778,549","2,552.1","15,587",Unified                  
01,61291,San Leandro Unified,"96,694,614","8,436.1","11,462",Unified                  
01,61309,San Lorenzo Unified,"120,682,601","9,938.5","12,143",Unified                  
01,75093,Dublin Unified,"107,678,950","11,044.6","9,749",Unified                  
01,75101,Pleasanton Unified,"152,605,107","14,415.2","10,586",Unified                  
01,75119,Sunol Glen Unified,"3,325,342",284.0,"11,710",Unified                  
02,61333,Alpine County Unified,"2,555,303",73.7,"34,681",Unified                  
03,73981,Amador County Unified,"33,806,573","3,732.1","9,058",Unified                  
04,61382,Bangor Union Elementary,"1,171,871",75.0,"15,631",Elementary               
04,61408,Biggs Unified,"6,736,971",586.6,"11,485",Unified                  
04,61424,Chico Unified,"130,799,476","11,614.4","11,262",Unified                  
04,61432,Durham Unified,"10,113,069",968.4,"10,443",Unified                  
04,61440,Feather Falls Union Elementary,"382,718",11.0,"34,856",Elementary               
04,61457,Golden Feather Union Elementary,"1,477,760",58.9,"25,098",Elementary               
04,61499,Manzanita Elementary,"2,710,231",284.2,"9,536",Elementary               
04,61507,Oroville City Elementary,"27,294,027","2,228.9","12,245",Elementary               
04,61515,Oroville Union High,"24,746,702","1,941.4","12,747",High                     
04,61523,Palermo Union Elementary,"13,828,742","1,201.7","11,507",Elementary               
04,61531,Paradise Unified,"36,369,662","3,229.4","11,262",Unified                  
04,61549,Thermalito Union Elementary,"15,992,469","1,452.3","11,012",Elementary               
04,73379,Pioneer Union Elementary,"859,169",52.2,"16,472",Elementary               
04,75507,Gridley Unified,"20,497,499","1,933.3","10,603",Unified                  
05,61556,Bret Harte Union High,"10,510,411",621.9,"16,902",High                     
05,61564,Calaveras Unified,"30,556,709","2,667.7","11,454",Unified                  
05,61572,Mark Twain Union Elementary,"8,180,893",771.2,"10,607",Elementary               
05,61580,Vallecito Union Elementary,"7,146,396",550.7,"12,977",Elementary               
06,61598,Colusa Unified,"14,552,036","1,416.8","10,271",Unified                  
06,61606,Maxwell Unified,"3,691,921",315.6,"11,698",Unified                  
06,61614,Pierce Joint Unified,"14,251,191","1,416.9","10,058",Unified                  
06,61622,Williams Unified,"14,591,370","1,248.9","11,683",Unified                  
07,61630,Acalanes Union High,"74,213,974","5,404.7","13,731",High                     
07,61648,Antioch Unified,"189,826,404","15,718.3","12,077",Unified                  
07,61655,Brentwood Union Elementary,"89,247,088","8,798.6","10,143",Elementary               
07,61663,Byron Union Elementary,"17,887,005","1,506.0","11,877",Elementary               
07,61671,Canyon Elementary,"990,803",67.7,"14,635",Elementary               
07,61697,John Swett Unified,"17,807,508","1,419.4","12,546",Unified                  
07,61705,Knightsen Elementary,"5,800,857",580.3,"9,996",Elementary               
07,61713,Lafayette Elementary,"42,107,917","3,470.6","12,133",Elementary               
07,61721,Liberty Union High,"82,962,944","7,746.9","10,709",High                     
07,61739,Martinez Unified,"42,215,022","3,982.5","10,600",Unified                  
07,61747,Moraga Elementary,"21,683,956","1,795.4","12,078",Elementary               
07,61754,Mt. Diablo Unified,"366,514,703","29,707.5","12,337",Unified                  
07,61762,Oakley Union Elementary,"49,916,283","4,981.5","10,020",Elementary               
07,61770,Orinda Union Elementary,"30,908,455","2,466.5","12,532",Elementary               
07,61788,Pittsburg Unified,"133,625,755","10,863.8","12,300",Unified                  
07,61796,West Contra Costa Unified,"343,879,508","26,808.6","12,827",Unified                  
07,61804,San Ramon Valley Unified,"328,841,411","31,428.3","10,463",Unified                  
07,61812,Walnut Creek Elementary,"38,563,397","3,471.1","11,110",Elementary               
08,61820,Del Norte County Unified,"40,373,281","3,366.5","11,993",Unified                  
09,61838,Buckeye Union Elementary,"43,220,548","4,581.3","9,434",Elementary               
09,61846,Camino Union Elementary,"4,268,671",374.3,"11,405",Elementary               
09,61853,El Dorado Union High,"71,521,973","6,273.1","11,401",High                     
09,61879,Gold Oak Union Elementary,"4,333,336",447.9,"9,674",Elementary               
09,61887,Gold Trail Union Elementary,"6,158,649",675.9,"9,112",Elementary               
09,61895,Indian Diggings Elementary,"254,018",19.8,"12,836",Elementary               
09,61903,Lake Tahoe Unified,"44,579,280","3,595.4","12,399",Unified                  
09,61911,Latrobe Elementary,"2,054,406",131.5,"15,625",Elementary               
09,61929,Mother Lode Union Elementary,"10,313,519",991.2,"10,406",Elementary               
09,61945,Pioneer Union Elementary,"3,111,016",292.4,"10,640",Elementary               
09,61952,Placerville Union Elementary,"12,226,244","1,216.9","10,047",Elementary               
09,61960,Pollock Pines Elementary,"6,802,543",652.3,"10,429",Elementary               
09,61978,Rescue Union Elementary,"34,110,858","3,531.7","9,658",Elementary               
09,61986,Silver Fork Elementary,"404,892",7.9,"51,382",Elementary               
09,73783,Black Oak Mine Unified,"10,609,128",992.7,"10,687",Unified                  
10,61994,Alvina Elementary,"2,014,600",179.0,"11,257",Elementary               
10,62026,Big Creek Elementary,"1,120,083",51.4,"21,775",Elementary               
10,62042,Burrel Union Elementary,"1,546,281",115.0,"13,448",Elementary               
10,62109,Clay Joint Elementary,"2,303,721",246.3,"9,354",Elementary               
10,62117,Clovis Unified,"424,999,863","40,856.9","10,402",Unified                  
10,62125,Coalinga-Huron Unified,"51,702,419","4,194.2","12,327",Unified                  
10,62158,Fowler Unified,"28,644,859","2,498.9","11,463",Unified                  
10,62166,Fresno Unified,"865,445,277","66,400.9","13,034",Unified                  
10,62240,Kingsburg Elementary Charter,"20,372,263","2,225.2","9,155",Elementary               
10,62257,Kingsburg Joint Union High,"12,954,620","1,098.4","11,794",High                     
10,62265,Kings Canyon Joint Unified,"109,835,091","9,181.4","11,963",Unified                  
10,62281,Laton Joint Unified,"8,870,089",658.7,"13,467",Unified                  
10,62323,Monroe Elementary,"2,368,842",160.0,"14,807",Elementary               
10,62331,Orange Center Elementary,"3,970,759",287.9,"13,790",Elementary               
10,62356,Pacific Union Elementary,"4,333,936",366.9,"11,811",Elementary               
10,62364,Parlier Unified,"40,881,944","3,265.3","12,520",Unified                  
10,62372,Pine Ridge Elementary,"2,151,376",91.3,"23,553",Elementary               
10,62380,Raisin City Elementary,"3,420,528",282.4,"12,114",Elementary               
10,62414,Sanger Unified,"115,196,125","10,132.9","11,369",Unified                  
10,62430,Selma Unified,"76,327,679","6,139.5","12,432",Unified                  
10,62513,Washington Colony Elementary,"4,506,894",416.3,"10,827",Elementary               
10,62539,West Park Elementary,"4,005,819",373.5,"10,724",Elementary               
10,62547,Westside Elementary,"3,042,678",205.8,"14,786",Elementary               
10,73809,Firebaugh-Las Deltas Unified,"27,694,504","2,179.8","12,705",Unified                  
10,73965,Central Unified,"161,722,109","15,004.6","10,778",Unified                  
10,73999,Kerman Unified,"51,323,155","4,926.8","10,417",Unified                  
10,75127,Mendota Unified,"33,159,964","3,246.7","10,213",Unified                  
10,75234,Golden Plains Unified,"22,723,900","1,593.7","14,258",Unified                  
10,75275,Sierra Unified,"15,966,163","1,200.8","13,297",Unified                  
10,75408,Riverdale Joint Unified,"19,103,901","1,532.8","12,464",Unified                  
10,75598,Caruthers Unified,"16,839,657","1,388.3","12,130",Unified                  
10,76778,Washington Unified,"33,294,087","2,438.6","13,653",Unified                  
11,62554,Capay Joint Union Elementary,"1,742,686",181.4,"9,606",Elementary               
11,62596,Lake Elementary,"1,585,838",176.4,"8,988",Elementary               
11,62638,Plaza Elementary,"1,617,799",198.1,"8,165",Elementary               
11,62646,Princeton Joint Unified,"2,291,073",155.2,"14,763",Unified                  
11,62653,Stony Creek Joint Unified,"1,840,411",75.5,"24,373",Unified                  
11,62661,Willows Unified,"13,007,961","1,372.5","9,478",Unified                  
11,75481,Orland Joint Unified,"22,937,549","2,122.1","10,809",Unified                  
11,76562,Hamilton Unified,"7,471,979",677.5,"11,028",Unified                  
12,62679,Arcata Elementary,"6,246,762",485.3,"12,871",Elementary               
12,62687,Northern Humboldt Union High,"18,874,310","1,382.8","13,649",High                     
12,62695,Big Lagoon Union Elementary,"653,169",13.8,"47,434",Elementary               
12,62703,Blue Lake Union Elementary,"1,982,585",172.2,"11,512",Elementary               
12,62729,Bridgeville Elementary,"535,048",24.6,"21,732",Elementary               
